arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
E,25.0,0.7055200195312499,711,21.659634317862167,1.94531903219895,56.56051030458325,24.998950146723633,2.2625154245525816,25.34757991351973,21.55,1.459414302521056,1.2561411081529734,40.728551336146275,65.68213783403657,1.485525641096722,1.2738438825294114,2.2744531495061557,39.538021210664716,0
G1,25.0,0.7079492187499998,711,21.80028129395218,2.013730433720619,61.408524420633825,24.998456749558144,2.456492616157965,25.229473680216014,21.0,1.483275477290227,1.4072815538149186,40.728551336146275,65.68213783403657,1.4967914744939361,1.2975815273814504,2.3373352657129782,41.18555670066147,0
G1*,25.0,0.6060443115234375,711,21.659634317862167,2.175131676479116,60.78532370815937,24.999342066110103,2.431476938369585,22.470979124425373,10.549999999999999,1.5200298020645922,1.632160339805195,40.728551336146275,65.68213783403657,1.5760210106982353,1.3085139044012395,2.5884446467686417,41.37023313396399,0
E,20.0,0.5530877685546874,711,21.659634317862167,1.9056802851729902,43.321773047211146,19.998385505600837,2.1662635233768373,20.37409574567628,5.3,1.4720739854826483,1.0237152519275574,40.728551336146275,65.68213783403657,1.5206707343847254,1.2809642710876719,2.2980356599341367,33.99050861487014,0
G1,20.0,0.5552133178710937,711,21.80028129395218,1.9696833266953009,46.89807530233925,19.998343270830464,2.3450980247321125,20.266655021593305,5.1499999999999995,1.4962050837624166,1.1562901547557878,40.728551336146275,65.68213783403657,1.5353628201507181,1.3047170547796592,2.363769423951852,35.36444523693775,0
G1*,20.0,0.47456390380859376,711,21.659634317862167,2.1140024006496474,46.235277528737704,19.998273942857438,2.311963405484354,17.94119320294586,1.55,1.5357385034110522,1.315270005634628,40.728551336146275,65.68213783403657,1.6193614895858475,1.3157355886762911,2.6106904552599217,35.528316030164,0
